car_name,brand,car_model,registration,model_year,transmission,body_type,fuel_type,engine_capacity,kilometers_run,price
Toyota Premio F-Ex 2013,Toyota,Premio,2017,2013,Automatic,Saloon,"CNG, Octane",1500,43500,2499800
Toyota Spacio Sunroof & Moonroof 2001,Toyota,Spacio,2003,2001,Automatic,Hatchback,"CNG, Octane",1500,65236,1073000
Honda Insight EX Pkg 2019,Honda,Insight,2023,2019,Automatic,Saloon,Octane,1500,28073,4600000
Toyota Premio FL 2018,Toyota,Premio,2019,2018,Automatic,Saloon,Octane,1500,44839,3676000
BMW 3 Series 320i 2005,BMW,3 Series,2005,2005,Automatic,Saloon,Octane,2000,43000,1930000
Toyota Allion g plus 2014,Toyota,Allion,2016,2014,Automatic,Saloon,Octane,1500,36000,2494000
Toyota Carina Mira Road 1990,Toyota,Carina,1993,1990,Automatic,Saloon,"CNG, Octane",1600,298521,208800
Toyota Premio fl 2011,Toyota,Premio,2014,2011,Automatic,Saloon,"CNG, Octane",1500,75000,2227200
Toyota Corolla G 2005,Toyota,Corolla,2009,2005,Automatic,Saloon,"CNG, Octane",1500,79231,1258600
Toyota Axio G 2015,Toyota,Axio,2016,2015,Automatic,Saloon,Octane,1500,35000,1020800
Toyota Noah X Super Condition 2003,Toyota,Noah,2008,2003,Automatic,MPV,"CNG, Octane",2000,80000,1160000
Nissan Sunny 2004,Nissan,Sunny,2006,2004,Automatic,Saloon,"CNG, Octane",1500,89000,620000
Toyota Premio Ex 2019,Toyota,Premio,2021,2019,Automatic,Saloon,Octane,1500,5000,4408000
Nissan SUCCESS 2013,Nissan,Success,2016,2013,Manual,MPV,Octane,1500,58000,1276000
Nissan Bluebird sylphy 2007,Nissan,Bluebird,2010,2007,Automatic,Saloon,Octane,1500,75000,1190000
Toyota Premio G Superior 2012,Toyota,Premio,2015,2012,Automatic,Saloon,"Petrol, Octane",1500,60000,2424400
Mitsubishi Pajero 1991,Mitsubishi,Pajero,1994,1991,Manual,SUV / 4x4,Diesel,2500,92000,261000
Toyota Hiace DX GL 2016,Toyota,Hiace,2018,2016,Automatic,MPV,Petrol,2000,57000,2691200
Nissan X-Trail 2016,Nissan,X-Trail,2019,2016,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane",2000,90100,4338400
Toyota Sprinter xe saloon 2000,Toyota,Sprinter,2003,2000,Automatic,Saloon,"Petrol, CNG, Octane",1500,50000,667000
Toyota Axio 2011,Toyota,Axio,2017,2011,Automatic,Saloon,"CNG, Octane",1500,75200,1409400
BMW 3 Series 320i 2005,BMW,3 Series,2006,2005,Automatic,Saloon,Octane,2000,65000,1940000
Honda Civic Blue- 2018,Honda,Civic,2023,2018,Automatic,Saloon,Octane,1500,28525,4250000
Toyota Noah X 2015,Toyota,Noah,2020,2015,Automatic,MPV,"Petrol, Octane",2000,45310,2922000
Honda Vezel 2014,Honda,Vezel,2016,2014,Automatic,SUV / 4x4,Octane,1500,35500,2536000
Toyota Fielder 2016,Toyota,Fielder,2018,2016,Automatic,Estate,"Hybrid, Octane",1500,34560,1879200
Toyota Fielder X 2009,Toyota,Fielder,2011,2009,Automatic,Estate,"CNG, Octane",1500,70000,1334000
Toyota Fielder G-EDITION 2001,Toyota,Fielder,2004,2001,Automatic,Estate,"CNG, Octane",1500,75000,926840
Toyota Corsa special edition 1994,Toyota,Corsa,1997,1994,Automatic,Saloon,"Petrol, CNG, Octane",1500,70000,260000
Toyota Axio 2015,Toyota,Axio,2017,2015,Automatic,Saloon,Hybrid,1500,51000,1914000
Honda Vezel S 2014,Honda,Vezel,2017,2014,Automatic,SUV / 4x4,Octane,1500,37117,2539000
Toyota Corolla X 2002,Toyota,Corolla,2007,2002,Automatic,Saloon,"CNG, Octane",1500,71000,985000
Nissan Sunny 2008,Nissan,Sunny,2008,2008,Automatic,Saloon,"Octane, LPG",1300,70000,800000
Audi Q5 Quottro 2011,Audi,Q5,2013,2012,Automatic,SUV / 4x4,"Petrol, Octane",2000,45000,5900000
Toyota Premio FL-HID. 2008,Toyota,Premio,2014,2008,Automatic,Saloon,"Octane, LPG",1500,85350,1885000
Toyota Noah si 2012,Toyota,Noah,2014,2012,Automatic,MPV,Octane,2000,48652,2749200
Mitsubishi Lancer GLX 2006,Mitsubishi,Lancer,2006,2006,Automatic,Saloon,"Petrol, CNG, Octane",1600,30000,750000
Toyota Premio F 2011,Toyota,Premio,2013,2011,Automatic,Saloon,Octane,1500,59000,2280000
Toyota Premio F 2016,Toyota,Premio,2018,2016,Automatic,Saloon,Petrol,1500,35568,3158000
Honda Grace 2014,Honda,Grace,2017,2014,Automatic,Saloon,"Hybrid, Octane",1500,32000,2320000
Toyota Fielder X 2009,Toyota,Fielder,2011,2009,Automatic,Estate,"Petrol, CNG, Octane",1500,89601,1351400
Toyota Fielder 2014,Toyota,Fielder,2017,2014,Automatic,Estate,"Hybrid, Octane",1500,84000,2030000
Toyota Harrier 2014,Toyota,Harrier,2016,2014,Automatic,SUV / 4x4,Octane,2000,47700,5394000
Toyota Corolla 2004,Toyota,Corolla,2006,2004,Automatic,Saloon,"Petrol, Octane",1500,79500,1090400
Nissan X-Trail 2017,Nissan,X-Trail,2021,2017,Automatic,SUV / 4x4,Hybrid,2000,33000,4278000
Toyota Prado Tx-L.Auto.Wing. 2017,Toyota,Prado,2018,2017,Automatic,SUV / 4x4,"Petrol, Octane",2700,21000,13500000
BMW 320i 2005,BMW,320i,2007,2005,Automatic,Saloon,Octane,2000,62000,2899998.84
Toyota Sprinter SE 1997,Toyota,Sprinter,2001,1997,Automatic,Saloon,"Petrol, CNG, Octane",1500,190000,638000
Nissan Bluebird 2006,Nissan,Bluebird,2009,2006,Automatic,Saloon,"CNG, Octane",1500,82000,1065000
Toyota Noah X Smart 2012,Toyota,Noah,2018,2012,Automatic,MPV,"CNG, Octane",2000,55325,2350000
Toyota Esquire 2016,Toyota,Esquire,2019,2016,Automatic,MPV,"Hybrid, Octane",1800,34560,3456800
Toyota Noah X 2005,Toyota,Noah,2010,2005,Automatic,MPV,"CNG, Octane",2000,152368,1508000
Toyota Hiace 2016,Toyota,Hiace,2017,2016,Automatic,MPV,Octane,2000,20005,2992800
Toyota Premio F 2006,Toyota,Premio,2019,2018,Automatic,Saloon,"CNG, Octane",1500,82417,3618200
Toyota Axio 2015,Toyota,Axio,2019,2015,Automatic,Saloon,"Hybrid, Octane",1500,34550,1763200
Toyota RAV4 G 2005,Toyota,RAV4,2007,2005,Automatic,SUV / 4x4,Octane,2362,54000,1914000
Toyota Fielder 2016,Toyota,Fielder,2018,2016,Automatic,Estate,"Hybrid, Octane",1500,34560,1879200
Toyota Premio F 2010,Toyota,Premio,2012,2010,Automatic,Saloon,Octane,1500,83000,2200000
Honda Civic Sensing 2018,Honda,Civic,2018,2018,Automatic,Saloon,Octane,1500,40000,3850000
Toyota Premio F 2006,Toyota,Premio,2012,2006,Automatic,Saloon,Octane,1500,115000,1555000
Honda Grace 2016,Honda,Grace,2018,2016,Automatic,Saloon,Hybrid,1500,52000,2842000
Toyota Premio F Ex 2017,Toyota,Premio,2019,2017,Automatic,Saloon,Octane,1500,23951,3590200
Toyota Noah X 2007,Toyota,Noah,2009,2007,Automatic,MPV,"CNG, Octane",2000,85000,1618200
Toyota Prius 2016,Toyota,Prius,2019,2016,Automatic,Hatchback,"Hybrid, Octane",1800,88000,3074000
Toyota Allion G 2014,Toyota,Allion,2015,2014,Automatic,Saloon,Octane,1500,42000,2459200
Toyota Axio 2015,Toyota,Axio,2018,2015,Automatic,Saloon,Hybrid,1500,50000,1914000
Toyota Prado TXL 2015,Toyota,Prado,2019,2015,Automatic,SUV / 4x4,"Petrol, Octane",2700,29541,10672000
Toyota Noah X Sunroof 2dor auto 2006,Toyota,Noah,2011,2006,Automatic,MPV,"Octane, LPG",2000,77453,1565000
Toyota Hiace . 2011,Toyota,Hiace,2014,2011,Automatic,MPV,"Petrol, CNG",2000,7500,2450000
Toyota LiteAce NOAH -GL 2012,Toyota,LiteAce,2015,2012,Automatic,MPV,"CNG, Octane",1500,56000,986000
BMW 7 Series 740Li LONG WHEELBASE 2005,BMW,7 Series,2006,2005,Automatic,Saloon,Octane,3000,72000,3490000
Toyota Hiace Super GL 2005,Toyota,Hiace,2008,2005,Automatic,MPV,"CNG, Octane",1990,89000,1728400
Toyota Land Cruiser 1995,Toyota,Land Cruiser,1999,1995,Manual,Estate,Octane,2367,92458,870000
Toyota Hiace 2009,Toyota,Hiace,2011,2009,Automatic,MPV,"CNG, Octane",1998,56000,2088000
BMW X5 . 2015,BMW,X5,2017,2015,Automatic,SUV / 4x4,Octane,2979,60366,7950000
Toyota Noah DX 2003,Toyota,Noah,2007,2003,Automatic,MPV,"Petrol, CNG",1800,75000,895000
Toyota Fielder X 2015,Toyota,Fielder,2019,2015,Automatic,Estate,"Petrol, Hybrid, Octane",1500,94000,1995195.36
Toyota Corolla AE100 SE LIMITED 1992,Toyota,Corolla,1995,1992,Automatic,Saloon,"Petrol, CNG",1500,1387,423400
Toyota Premio F-EX 2013,Toyota,Premio,2016,2013,Automatic,Saloon,"CNG, Octane",1500,43080,2488200
Toyota Premio F 2006,Toyota,Premio,2014,2011,Automatic,Saloon,"CNG, Octane",1500,95000,2285000
Toyota Corolla X 2004,Toyota,Corolla,2007,2004,Automatic,Saloon,"CNG, Octane",1500,78965,1148400
Toyota Probox 2004,Toyota,Probox,2017,2011,Automatic,Estate,"CNG, Octane",1500,100000,684400
Mitsubishi Pajero 1992,Mitsubishi,Pajero,1994,1992,Manual,SUV / 4x4,Diesel,2500,75000,644443.8
Toyota Aqua G Package 2013,Toyota,Aqua,2019,2013,Automatic,Hatchback,Hybrid,1500,89000,1370000
Toyota Probox succeed 2004,Toyota,Probox,2009,2004,Automatic,Saloon,"CNG, Octane",1500,55000,754000
BMW 520d F10 2011,BMW,520d,2011,2011,Automatic,Saloon,Diesel,2000,56703,4970000
Toyota Noah Smart. Push 2010,Toyota,Noah,2016,2010,Automatic,MPV,Octane,2000,73452,2170000
Toyota Premio F 2016,Toyota,Premio,2020,2016,Automatic,Saloon,"CNG, Octane",1500,38000,3054000
Toyota Hiace GL 2015,Toyota,Hiace,2019,2015,Automatic,MPV,"Petrol, CNG, Octane, LPG",2000,41233,3248000
Mitsubishi Outlandar 2010,Mitsubishi,Outlandar,2012,2010,Automatic,SUV / 4x4,Octane,2000,53000,2262000
Honda Vezel RS Pacag Octan Drive 2016,Honda,Vezel,2016,2016,Automatic,SUV / 4x4,Octane,1500,52314,2375000
Hyundai Santa Fe 2016,Hyundai,Santa Fe,2018,2016,Automatic,SUV / 4x4,Octane,2400,43000,4384800
Toyota Hiace dx 2003,Toyota,Hiace,2005,2003,Automatic,MPV,"CNG, Octane",2000,198522,533600
Toyota C-HR 2017,Toyota,C-HR,2019,2017,Automatic,SUV / 4x4,"Hybrid, Octane",1800,66768,3770000
Toyota Axio 2014,Toyota,Axio,2016,2014,Automatic,Saloon,"Petrol, Hybrid, Octane",1500,32638,1716800
Toyota Noah X 2002,Toyota,Noah,2004,2002,Automatic,MPV,"CNG, Octane",2000,142088,1252800
Honda CR-V g 2012,Honda,CR-V,2014,2012,Automatic,SUV / 4x4,Octane,2000,32435,3306000
Mitsubishi Lancer GLX 2003,Mitsubishi,Lancer,2006,2003,Automatic,Saloon,"CNG, Octane",1300,57000,719200
Toyota Premio F 2006,Toyota,Premio,2009,2006,Automatic,Saloon,"CNG, Octane",1500,68573,1566000
Honda Vezel 2015,Honda,Vezel,2018,2015,Automatic,MPV,Octane,1500,52000,2378000
Nissan X-Trail 2016,Nissan,X-Trail,2017,2016,Automatic,SUV / 4x4,Hybrid,2000,39000,4234000
Toyota ist G 2004,Toyota,ist,2007,2004,Automatic,Saloon,"CNG, Octane",1331,63422,910600
Toyota Hiace TRH GL 2011,Toyota,Hiace,2016,2011,Automatic,MPV,"CNG, Octane",2000,72400,2145000
Toyota Spacio fun cargo HID G 2004,Toyota,Spacio,2007,2004,Automatic,Hatchback,"CNG, Octane",1500,62300,774880
Toyota Noah x edition 2003,Toyota,Noah,2007,2003,Automatic,MPV,"CNG, Octane",2000,71500,1185000
BMW 3 Series 320i 2005,BMW,3 Series,2005,2005,Automatic,Saloon,Octane,2000,46000,1930000
Toyota Corolla X 2004,Toyota,Corolla,2007,2003,Automatic,Saloon,"CNG, Octane",1500,76000,1145000
Tata Indigo Ecs 2013,Tata,Indigo Ecs,2015,2013,Manual,Saloon,Diesel,1500,87521,522000
Toyota Premio 2008,Toyota,Premio,2018,2013,Automatic,Saloon,"CNG, Octane",1500,63000,2402400
Toyota Fielder 2009,Toyota,Fielder,2016,2009,Automatic,Estate,"CNG, Octane",1500,69000,1061400
Mitsubishi Lancer 2006,Mitsubishi,Lancer,2006,2006,Automatic,Saloon,Octane,1500,70000,855000
Toyota Corolla 100 1993,Toyota,Corolla,1996,1993,Automatic,Saloon,"Octane, LPG",1331,96000,452400
Toyota Rush 2007,Toyota,Rush,2009,2007,Automatic,SUV / 4x4,"Petrol, Octane",1500,90000,1368800
Toyota Noah SI WXB HYBRID BLACK 2018,Toyota,Noah,2021,2018,Automatic,MPV,"Petrol, Hybrid, Octane",2000,25670,3400000
Toyota Premio F 2005,Toyota,Premio,2015,2013,Automatic,Saloon,"CNG, Octane",1500,98000,2325000
Toyota Allion G Plus 2019,Toyota,Allion,2022,2019,Automatic,Saloon,"Petrol, Octane",1500,5000,3747000
Toyota C-HR G 2017,Toyota,C-HR,2018,2017,Automatic,Hatchback,"Petrol, Hybrid, Octane",1800,21683,3538000
Toyota Hiace Super gl 2014,Toyota,Hiace,2016,2014,Automatic,MPV,"CNG, Octane",2000,65199,3039200
Honda Grace 2015,Honda,Grace,2016,2015,Automatic,Saloon,"Hybrid, Octane",1500,49000,2308400
Toyota Premio F 2010,Toyota,Premio,2015,2010,Automatic,Saloon,"CNG, Octane",1500,87000,2256000
Toyota Aqua G 2014,Toyota,Aqua,2021,2014,Automatic,Hatchback,Hybrid,1500,53000,1430000
Toyota Premio F 2006,Toyota,Premio,2009,2006,Automatic,Saloon,"CNG, Octane",1500,72000,1535000
Honda City 2000,Honda,City,2002,2000,Automatic,Saloon,Octane,1500,75000,568400
Honda CR-V g 2012,Honda,CR-V,2014,2012,Automatic,SUV / 4x4,Octane,2000,32435,3306000
BMW 328i . 1995,BMW,328i,2001,1995,Automatic,Saloon,"CNG, Octane",1500,89500,1130000
Toyota Corolla g 2005,Toyota,Corolla,2010,2005,Automatic,Estate,Octane,1500,55256,1183200
Toyota Axio 2014,Toyota,Axio,2015,2014,Automatic,Saloon,"CNG, Octane",1500,160000,1287582.6
Toyota Noah 2007,Toyota,Noah,2010,2007,Automatic,MPV,"CNG, Octane",2000,150000,2030000
Toyota Premio F EX 2017,Toyota,Premio,2019,2017,Automatic,Saloon,"Petrol, Octane",1500,66100,3451200
Toyota Succeed 2004,Toyota,Succeed,2008,2004,Automatic,Estate,"CNG, Octane",1500,54000,759800
Toyota Premio F 2010,Toyota,Premio,2014,2010,Automatic,Saloon,Octane,1500,65000,2190000
Kia Sportage 2004,Kia,Sportage,2006,2004,Automatic,SUV / 4x4,"Petrol, CNG",2700,68000,1102000
Toyota Axio 2015,Toyota,Axio,2018,2015,Automatic,Saloon,"Hybrid, Octane",2015,90238,1983600
Toyota Axio X 2014,Toyota,Axio,2018,2014,Automatic,Saloon,"CNG, Octane",1500,37800,1832800
Toyota Premio F 2016,Toyota,Premio,2022,2016,Automatic,Saloon,"CNG, Octane",1500,45000,3044000
Proton Satria 2016,Proton,Satria,2018,2016,Automatic,Saloon,Octane,1500,35218,2088000
Toyota Corsa G 1993,Toyota,Corsa,1995,1993,Automatic,Saloon,"CNG, Octane",1331,149967,458200
Toyota Premio F 2009,Toyota,Premio,2012,2009,Automatic,Saloon,"CNG, Octane",1500,57849,2035800
Toyota Premio 2012,Toyota,Premio,2015,2012,Automatic,Saloon,"CNG, Octane",1500,62000,2418600
Toyota Prado tx 2014,Toyota,Prado,2017,2014,Automatic,SUV / 4x4,Octane,2700,35000,8584000
"Toyota Axio ""G"" Push Start 2009",Toyota,Axio,2014,2009,Automatic,Saloon,"CNG, Octane",1500,159000,1490000
Toyota Axio G 2010,Toyota,Axio,2010,2010,Automatic,Saloon,"CNG, Octane",1500,58000,1496400
Toyota Premio FL 2016,Toyota,Premio,2019,2016,Automatic,Saloon,Octane,1500,34560,3248000
Toyota Aqua Hybrid 2016,Toyota,Aqua,2018,2016,Automatic,Hatchback,Hybrid,1500,50500,2030000
Toyota Noah NOHA KR 42 2006,Toyota,Noah,2009,2006,Automatic,MPV,"CNG, Octane",1800,68580,1380400
Toyota Allion G 2017,Toyota,Allion,2021,2017,Automatic,Saloon,"Petrol, Octane",1500,34713,3526400
Toyota Premio g superior 2009,Toyota,Premio,2017,2009,Automatic,Saloon,Octane,1500,52342,2024200
Toyota Hiace 2017,Toyota,Hiace,2019,2017,Automatic,MPV,Petrol,2000,65000,4036800
Mitsubishi Lancer EX GLS 2017,Mitsubishi,Lancer,2018,2017,Automatic,Saloon,Octane,1500,56000,1950000
Toyota Axio G 2009,Toyota,Axio,2013,2009,Automatic,Saloon,"CNG, Octane",1500,58000,1403600
Toyota Prius 2016,Toyota,Prius,2018,2016,Automatic,Hatchback,"Hybrid, Octane",1800,79000,3132000
Toyota Allion A15 G+ 2010,Toyota,Allion,2015,2010,Automatic,Saloon,"CNG, Octane",1500,62700,1995200
Toyota Noah X 2009,Toyota,Noah,2010,2009,Automatic,MPV,"CNG, Octane",2000,76585,2047400
Toyota Spacio Sunroof & Moonroof 2001,Toyota,Spacio,2003,2001,Automatic,Hatchback,"CNG, Octane",1500,65236,1073000
Chery Car 2006,Chery,Chery,2008,2006,Automatic,Saloon,"Petrol, CNG",1500,72180,266800
Mazda MPV 2005,Mazda,MPV,2010,2007,Automatic,MPV,"CNG, Octane",2000,50000,1102000
Honda Vezel 2014,Honda,Vezel,2015,2014,Automatic,SUV / 4x4,Octane,1500,76000,2200000
Toyota Fielder 2014,Toyota,Fielder,2017,2014,Automatic,Estate,Octane,1500,188393,1925600
Toyota Noah X 2003,Toyota,Noah,2005,2003,Automatic,MPV,"Petrol, CNG",2000,690000,1136800
Toyota Probox GL 2004,Toyota,Probox,2006,2004,Automatic,Saloon,"CNG, Octane",1331,98500,748200
Toyota Premio Ex 2017,Toyota,Premio,2019,2017,Automatic,Saloon,Octane,1500,19000,3770000
Toyota Wish 7 Sitter (Sunroof) 2011,Toyota,Wish,2018,2011,Automatic,Estate,Octane,1800,65000,2330000
Toyota Axio 2016,Toyota,Axio,2017,2016,Automatic,Saloon,Hybrid,1500,71000,2146000
Toyota Corolla X 2006,Toyota,Corolla,2008,2006,Automatic,Saloon,"Petrol, CNG",1500,72000,1252800
Toyota Allion A-15 (G) Wine Red 2012,Toyota,Allion,2016,2012,Automatic,Saloon,Octane,1500,63000,2350000
Tata 709 Turbo 2006,Tata,709 Turbo,2008,2006,Manual,SUV / 4x4,Diesel,3700,64848,406000
Toyota Premio 2015,Toyota,Premio,2017,2015,Automatic,Saloon,Octane,1500,42120,2708600
Toyota Hiace Super GL 2014,Toyota,Hiace,2017,2014,Automatic,MPV,"CNG, Octane",2000,65000,3132000
Honda Grace 2016,Honda,Grace,2018,2016,Automatic,Saloon,"Hybrid, Octane",1500,31720,1914000
Honda CR-V 1997,Honda,CR-V,2000,1997,Automatic,SUV / 4x4,"CNG, Octane",2000,75000,870000
Toyota Noah HV G LTD PUSH 1DP NS 2018,Toyota,Noah,2020,2018,Automatic,MPV,"Hybrid, Octane",1800,91000,3270000
Honda Grace 2016,Honda,Grace,2019,2016,Automatic,Saloon,"Hybrid, Octane",1500,37150,2227200
Toyota Premio Ex package 2016,Toyota,Premio,2018,2016,Automatic,Saloon,Octane,1500,36458,3222000
Toyota Hiace GL 2012,Toyota,Hiace,2015,2012,Automatic,MPV,"CNG, Octane",2000,75000,1531200
Nissan X-Trail 2018,Nissan,X-Trail,2021,2018,Automatic,SUV / 4x4,"Hybrid, Octane",2000,31900,5384720
